#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,polkit,"manages user policies."
A,otf-san-francisco-mono,"provides a pretty, monospaced font."
A,vscode-codicons-git,"provides the icon font for Visual Studio Code."
,ttf-joypixels,"is an emoji font."
A,ttf-ms-fonts,"is a small collection of Microsoft fonts."
,ttf-dejavu,"provides the dejavu font and fixes the display of some emojis."
,noto-fonts-cjk,"provides east Asian fonts."
A,ttf-ubraille,"fixes the display of symbols in st."
A,lf-bin,"is an extensive terminal file manager that everyone likes."
,ueberzug,"enables previews in the lf file manager."
,bc,"is a mathematics language used for the dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,cups-runit,"is the Unix printing system and provides support in artix-runit."
,dash,"is a wicked fast shell."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,htop-vim,"acts as a system task manager."
A,arc-gtk-theme,"gives the dark GTK theme used in NARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"is a tidier vim with some useful features."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"is a ncurses interface for music with multiple formats and a powerful tag editor."
,firefox,"is everyone's favorite open-source browser."
,cronie-runit,"provides cronjob support in artix-runit."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,bluez-runit,"provides bluez support for artix-runit."
,bluez-utils,"provides bluetoothctl for managing bluetooth on the command line."
,maim,"can take quick screenshots at your request."
A,abook-configdir,"is an offline addressbook usable by neomutt."
,redshift,"provides a soft, screen redshift during the evening."
A,qbittorrent,"is a secure torrent client."
,unclutter,"hides an inactive mouse."
A,vidir,"allows you to bulk rename files and folders."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,zip,"zips files."
,lynx,"is a terminal browser also used in NARBS for generating in-terminal previews of websites, emails and HTML files."
,pacman-contrib,"provides pacman scripts."
,rtkit,"provides any user with realtime privileges."
A,tzupdate,"updates timezone."
,numlockx,"remembers numlock on boot."
,xcape,"allows for the special escape/super mapping."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
A,xzoom,"allows for universal zooming across any window."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,bat,"is a cat clone with syntax highlighting and git integration."
A,blight,"enables changing screen brightness levels."
,backlight-runit,"restores brightness levels on boot."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/thatguynoe/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/thatguynoe/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/thatguynoe/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/thatguynoe/dwm.git,"is the window manager."
A,nsxiv,"is a minimalist image viewer."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
A,pam-gnupg,"unlocks GPG keys on login."
,slock,"allows you to lock your computer, and quickly unlock with your password."
